Undergrad.University.ID,ID,Calculated.Prospect.Type,Disposition..Step.,App.Year,Application.Deadline,US.World.News...Report.Selectivity,US.World.News.Selectivity,X2016.Adjusted.School.List,X2016.Recruitment.Tier,Major.1,Major.2,Minor,GPA.Above.3.6,Met.,Sourced.by.RT.vs.Sign.up.Form,X2017.Recruitment.Tier,Public.Private,Size,Region,X..of.Alumni.who.attended.school.in.undergrad,X..of.Current.CMs.who.attended.school.in.undergrad,X..of.Current.TFA.Staff.who.attended.school.in.undergrad,Awareness.Level
001A000000TK7cdIAD,2016_3436,Undergrad,WITHDRAWN,2016,10/30/2015,,,Campus: 2,Campus: 2,Social Work,,,Yes,,Sourced by RT,Campus: 1,,,W,6,15,2,Low or Mixed Issue/High TFA
001A000000TK7cdIAD,2016_371,Undergrad,REJECTED,2016,01/15/2016,,,Campus: 2,Campus: 2,Journalism,,English,No,Y,Sourced by RT,Campus: 1,,,W,6,15,2,Low or Mixed Issue/High TFA
001A000000TK7cdIAD,2016_8318,Undergrad,ACCEPTED,2016,10/30/2015,,,Campus: 2,Campus: 2,Criminal Justice,,,Yes,Y,Self-sourced by sign-up form,Campus: 1,,,W,6,15,2,Low or Mixed Issue/High TFA
001A000000TK7cdIAD,2016_9047,Undergrad,WITHDRAWN,2016,10/30/2015,,,Campus: 2,Campus: 2,Health,,,No,,Self-sourced by sign-up form,Campus: 1,,,W,6,15,2,Low or Mixed Issue/High TFA
001A000000TK7cdIAD,2016_16293,Junior,REJECTED,2016,03/06/2015,,,Campus: 2,Campus: 2,Public Policy,,Criminal Justice,Yes,,Self-sourced by sign-up form,Campus: 1,,,W,6,15,2,Low or Mixed Issue/High TFA
001A000000TK7cdIAD,2016_15293,Undergrad,REJECTED,2016,10/30/2015,,,Campus: 2,Campus: 2,Criminology,Criminal Justice,Organizational Studies,Yes,Y,Self-sourced by sign-up form,Campus: 1,,,W,6,15,2,Low or Mixed Issue/High TFA
001A000000TK7cdIAD,2016_3138,Undergrad,ACCEPTED,2016,08/21/2015,,,Campus: 2,Campus: 2,Journalism,,History,No,Y,Self-sourced by sign-up form,Campus: 1,,,W,6,15,2,Low or Mixed Issue/High TFA
001A000000TK7cdIAD,2016_2548,Undergrad,ACCEPTED,2016,09/10/2015,,,Campus: 2,Campus: 2,Other,,,Yes,Y,Sourced by RT,Campus: 1,,,W,6,15,2,Low or Mixed Issue/High TFA
001A000000TK7cdIAD,2016_15577,Junior,REJECTED,2016,03/06/2015,,,Campus: 2,Campus: 2,Journalism,,Business,No,,Self-sourced by sign-up form,Campus: 1,,,W,6,15,2,Low or Mixed Issue/High TFA
001A000000TK7cdIAD,2016_12317,Undergrad,REJECTED,2016,03/04/2016,,,Campus: 2,Campus: 2,Other,,,Yes,Y,Sourced by RT,Campus: 1,,,W,6,15,2,Low or Mixed Issue/High TFA
001A000000TK7cdIAD,2016_1123,Undergrad,WITHDRAWN,2016,01/15/2016,,,Campus: 2,Campus: 2,Public Policy,,,Yes,Y,Sourced by RT,Campus: 1,,,W,6,15,2,Low or Mixed Issue/High TFA
