Undergrad.University.ID,ID,Calculated.Prospect.Type,Disposition..Step.,App.Year,Application.Deadline,US.World.News...Report.Selectivity,US.World.News.Selectivity,X2017.Tier,X2017.Recruitment.Tier,Public.Private,Major.1,Major.2,Minor,GPA.Above.3.6,Met.,Sourced.by.RT.vs.Sign.up.Form,X2016.Recruitment.Tier,Size,Region,X..of.Alumni.who.attended.school.in.undergrad,X..of.Current.CMs.who.attended.school.in.undergrad,X..of.Current.TFA.Staff.who.attended.school.in.undergrad,Awareness.Level
001A000000TK7cdIAD,2017_5222,Undergrad,ACCEPTED,2017,12/09/2016,0,,Campus: 1,Campus: 1,,Nutrition,,,Y,Y,Sourced by RT,Campus: 2,,W,6,15,2,Low or Mixed Issue/High TFA
001A000000TK7cdIAD,2017_2258,Undergrad,WITHDRAWN,2017,10/19/2016,0,,Campus: 1,Campus: 1,,Nursing,,,Y,Y,Self-sourced by sign-up form,Campus: 2,,W,6,15,2,Low or Mixed Issue/High TFA
001A000000TK7cdIAD,2017_2014,Undergrad,REJECTED,2017,10/19/2016,0,,Campus: 1,Campus: 1,,Social Work,,,N,Y,Self-sourced by sign-up form,Campus: 2,,W,6,15,2,Low or Mixed Issue/High TFA
001A000000TK7cdIAD,2017_5198,Undergrad,REJECTED,2017,12/09/2016,0,,Campus: 1,Campus: 1,,Exercise Science,,,N,,Self-sourced by sign-up form,Campus: 2,,W,6,15,2,Low or Mixed Issue/High TFA
001A000000TK7cdIAD,2017_6976,Undergrad,REJECTED,2017,12/09/2016,0,,Campus: 1,Campus: 1,,Health,,,N,Y,Self-sourced by sign-up form,Campus: 2,,W,6,15,2,Low or Mixed Issue/High TFA
001A000000TK7cdIAD,2017_5464,Undergrad,REJECTED,2017,08/19/2016,0,,Campus: 1,Campus: 1,,Health,,,N,Y,Sourced by RT,Campus: 2,,W,6,15,2,Low or Mixed Issue/High TFA
001A000000TK7cdIAD,2017_1926,Junior,REJECTED,2017,03/04/2016,0,,Campus: 1,Campus: 1,,Journalism,,Business,Y,,Self-sourced by sign-up form,Campus: 2,,W,6,15,2,Low or Mixed Issue/High TFA
001A000000TK7cdIAD,2017_4219,Junior,ACCEPTED,2017,04/20/2016,0,,Campus: 1,Campus: 1,,Communications,Other,Other,N,,Sourced by RT,Campus: 2,,W,6,15,2,Low or Mixed Issue/High TFA
001A000000TK7cdIAD,2017_2362,Undergrad,REJECTED,2017,10/19/2016,0,,Campus: 1,Campus: 1,,Health,,,N,Y,Self-sourced by sign-up form,Campus: 2,,W,6,15,2,Low or Mixed Issue/High TFA
001A000000TK7cdIAD,2017_4133,Undergrad,REJECTED,2017,09/16/2016,0,,Campus: 1,Campus: 1,,Criminal Justice,,,N,,Self-sourced by sign-up form,Campus: 2,,W,6,15,2,Low or Mixed Issue/High TFA
001A000000TK7cdIAD,2017_6402,Junior,REJECTED,2017,03/04/2016,0,,Campus: 1,Campus: 1,,Kinesiology,,Business,N,,Self-sourced by sign-up form,Campus: 2,,W,6,15,2,Low or Mixed Issue/High TFA
001A000000TK7cdIAD,2017_6034,Undergrad,WITHDRAWN,2017,10/19/2016,0,,Campus: 1,Campus: 1,,Criminal Justice,,,Y,,Self-sourced by sign-up form,Campus: 2,,W,6,15,2,Low or Mixed Issue/High TFA
